# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	26880	28367	+	WP_011899558.1	WP_011899558.1		tRNA guanosine(15) transglycosylase TgtA	tgtA	5054381	PARS_RS00170	1488	495	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	28356	29072	-						5054708	PARS_RS00175	717		old_locus_tag=Pars_0034
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	28356	29072	-	WP_011899559.1	WP_011899559.1		proteasome assembly chaperone family protein		5054708	PARS_RS00175	717	238	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	29069	29581	-						5054550	PARS_RS00180	513		old_locus_tag=Pars_0035
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	29069	29581	-	WP_011899560.1	WP_011899560.1		transcription factor		5054550	PARS_RS00180	513	170	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	29639	30784	-					hflX	5054361	PARS_RS00185	1146		old_locus_tag=Pars_0036
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	29639	30784	-	WP_011899561.1	WP_011899561.1		GTPase HflX	hflX	5054361	PARS_RS00185	1146	381	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	30774	31259	-						5054322	PARS_RS00190	486		old_locus_tag=Pars_0037
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	30774	31259	-	WP_011899562.1	WP_011899562.1		multiprotein bridging factor aMBF1		5054322	PARS_RS00190	486	161	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	31304	31756	+						5054510	PARS_RS00195	453		old_locus_tag=Pars_0038
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	31304	31756	+	WP_128622096.1	WP_128622096.1		pseudouridine synthase		5054510	PARS_RS00195	453	150	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	31725	32003	-						5054590	PARS_RS00200	279		old_locus_tag=Pars_0039
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	31725	32003	-	WP_011899564.1	WP_011899564.1		hypothetical protein		5054590	PARS_RS00200	279	92	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	31987	32280	-						5054294	PARS_RS00205	294		old_locus_tag=Pars_0040
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	31987	32280	-	WP_011899565.1	WP_011899565.1		hypothetical protein		5054294	PARS_RS00205	294	97	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	32360	32602	+						5054378	PARS_RS00210	243		old_locus_tag=Pars_0041
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	32360	32602	+	WP_011899566.1	WP_011899566.1		small nuclear ribonucleoprotein (Sm)		5054378	PARS_RS00210	243	80	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	32599	32757	+						5055588	PARS_RS00215	159		old_locus_tag=Pars_0042
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	32599	32757	+	WP_011899567.1	WP_011899567.1		50S ribosomal protein L37e		5055588	PARS_RS00215	159	52	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	32838	33428	+						5055290	PARS_RS00220	591		old_locus_tag=Pars_0043
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	32838	33428	+	WP_011899568.1	WP_011899568.1		MarC family protein		5055290	PARS_RS00220	591	196	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	33452	34378	+						5055724	PARS_RS00225	927		old_locus_tag=Pars_0044
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	33452	34378	+	WP_011899569.1	WP_011899569.1		Mrp/NBP35 family ATP-binding protein		5055724	PARS_RS00225	927	308	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	34375	34758	-						5055432	PARS_RS00230	384		old_locus_tag=Pars_0045
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	34375	34758	-	WP_011899570.1	WP_011899570.1		cytidine deaminase		5055432	PARS_RS00230	384	127	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	34796	35728	+						5056197	PARS_RS00235	933		old_locus_tag=Pars_0046
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	34796	35728	+	WP_011899571.1	WP_011899571.1		hypothetical protein		5056197	PARS_RS00235	933	310	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	35752	36534	+						5054974	PARS_RS00240	783		old_locus_tag=Pars_0047
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	35752	36534	+	WP_011899572.1	WP_011899572.1		SDR family oxidoreductase		5054974	PARS_RS00240	783	260	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	36523	37812	-						5056210	PARS_RS00245	1290		old_locus_tag=Pars_0048
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	36523	37812	-	WP_011899573.1	WP_011899573.1		serine hydroxymethyltransferase		5056210	PARS_RS00245	1290	429	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	37851	38582	-						5056198	PARS_RS00250	732		old_locus_tag=Pars_0049
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	37851	38582	-	WP_011899574.1	WP_011899574.1		molybdenum cofactor biosynthesis protein MoaC		5056198	PARS_RS00250	732	243	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	38579	38908	-						5054315	PARS_RS00255	330		old_locus_tag=Pars_0050
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	38579	38908	-	WP_011899575.1	WP_011899575.1		TFIIB-type zinc ribbon-containing protein		5054315	PARS_RS00255	330	109	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	38939	39997	-					fni	5056063	PARS_RS00260	1059		old_locus_tag=Pars_0051
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	38939	39997	-	WP_011899576.1	WP_011899576.1		type 2 isopentenyl-diphosphate Delta-isomerase	fni	5056063	PARS_RS00260	1059	352	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	39997	40737	-						5056219	PARS_RS00265	741		old_locus_tag=Pars_0052
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	39997	40737	-	WP_011899577.1	WP_011899577.1		50S ribosomal protein L2		5056219	PARS_RS00265	741	246	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	40871	41086	+						5056163	PARS_RS00270	216		old_locus_tag=Pars_0053
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	40871	41086	+	WP_011899578.1	WP_011899578.1		30S ribosomal protein S17e		5056163	PARS_RS00270	216	71	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	41089	41778	+						5054545	PARS_RS00275	690		old_locus_tag=Pars_0054
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	41089	41778	+	WP_011899579.1	WP_011899579.1		peptidylprolyl isomerase		5054545	PARS_RS00275	690	229	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	41882	42490	+						5054488	PARS_RS00280	609		old_locus_tag=Pars_0055
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	41882	42490	+	WP_011899580.1	WP_011899580.1		proteasome subunit beta		5054488	PARS_RS00280	609	202	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	42511	43770	+						5054566	PARS_RS00285	1260		old_locus_tag=Pars_0056
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	42511	43770	+	WP_011899581.1	WP_011899581.1		enolase		5054566	PARS_RS00285	1260	419	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	43801	44214	+						5054561	PARS_RS00290	414		old_locus_tag=Pars_0057
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	43801	44214	+	WP_011899582.1	WP_011899582.1		winged helix-turn-helix domain-containing protein		5054561	PARS_RS00290	414	137	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	44199	45131	-					moaA	5054365	PARS_RS00295	933		old_locus_tag=Pars_0058
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	44199	45131	-	WP_011899583.1	WP_011899583.1		GTP 3',8-cyclase MoaA	moaA	5054365	PARS_RS00295	933	310	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	45207	46664	+						5054277	PARS_RS00300	1458		old_locus_tag=Pars_0059
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	45207	46664	+	WP_128867339.1	WP_128867339.1		serine/threonine protein kinase		5054277	PARS_RS00300	1458	485	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	46756	47211	+						5055153	PARS_RS00305	456		old_locus_tag=Pars_0060
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	46756	47211	+	WP_164905903.1	WP_164905903.1		FHA domain-containing protein		5055153	PARS_RS00305	456	151	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	47247	47873	+					rpsB	5055353	PARS_RS00310	627		old_locus_tag=Pars_0061
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	47247	47873	+	WP_011899586.1	WP_011899586.1		30S ribosomal protein S2	rpsB	5055353	PARS_RS00310	627	208	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	47928	48773	+					amrB	5054922	PARS_RS00315	846		old_locus_tag=Pars_0062
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	47928	48773	+	WP_011899587.1	WP_011899587.1		AmmeMemoRadiSam system protein B	amrB	5054922	PARS_RS00315	846	281	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	48770	50119	-					pyk	5055041	PARS_RS00320	1350		old_locus_tag=Pars_0063
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	48770	50119	-	WP_011899588.1	WP_011899588.1		pyruvate kinase	pyk	5055041	PARS_RS00320	1350	449	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	50116	52023	-						5054597	PARS_RS00325	1908		old_locus_tag=Pars_0064
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	50116	52023	-	WP_011899589.1	WP_011899589.1		beta-CASP ribonuclease aCPSF1		5054597	PARS_RS00325	1908	635	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	52072	53502	+					cysS	5054543	PARS_RS00330	1431		old_locus_tag=Pars_0065
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	52072	53502	+	WP_011899590.1	WP_011899590.1		cysteine--tRNA ligase	cysS	5054543	PARS_RS00330	1431	476	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	53802	53972	-						38938051	PARS_RS12015	171		old_locus_tag=Pars_0066
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	53802	53972	-	WP_241428757.1	WP_241428757.1		hypothetical protein		38938051	PARS_RS12015	171	56	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	54136	54339	-						38937994	PARS_RS00340	204		
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	54136	54339	-	WP_128622097.1	WP_128622097.1		hypothetical protein		38937994	PARS_RS00340	204	67	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	54516	54884	-						5055189	PARS_RS00345	369		old_locus_tag=Pars_0068
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	54516	54884	-	WP_128867340.1	WP_128867340.1		aspartyl protease family protein		5055189	PARS_RS00345	369	122	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	55169	55405	+						5056025	PARS_RS00350	237		old_locus_tag=Pars_0069
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	55169	55405	+	WP_011899592.1	WP_011899592.1		hypothetical protein		5056025	PARS_RS00350	237	78	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	55467	59045	-						5055861	PARS_RS00355	3579		old_locus_tag=Pars_0070
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	55467	59045	-	WP_011899593.1	WP_011899593.1		hypothetical protein		5055861	PARS_RS00355	3579	1192	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	59091	61013	+						5055762	PARS_RS00360	1923		old_locus_tag=Pars_0071
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	59091	61013	+	WP_128867342.1	WP_128867342.1		hypothetical protein		5055762	PARS_RS00360	1923	640	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	61054	69057	+						5055713	PARS_RS00365	8004		old_locus_tag=Pars_0072
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	61054	69057	+	WP_011899595.1	WP_011899595.1		hypothetical protein		5055713	PARS_RS00365	8004	2667	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	69117	69713	+						5055681	PARS_RS00370	597		old_locus_tag=Pars_0073
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	69117	69713	+	WP_011899596.1	WP_011899596.1		AMMECR1 domain-containing protein		5055681	PARS_RS00370	597	198	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	69743	70510	+						5056000	PARS_RS00375	768		old_locus_tag=Pars_0074
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	69743	70510	+	WP_011899597.1	WP_011899597.1		hypothetical protein		5056000	PARS_RS00375	768	255	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	70491	71021	+					cyaB	5054280	PARS_RS00380	531		old_locus_tag=Pars_0075
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	70491	71021	+	WP_011899598.1	WP_011899598.1		class IV adenylate cyclase	cyaB	5054280	PARS_RS00380	531	176	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	71029	72783	+						5054375	PARS_RS00385	1755		old_locus_tag=Pars_0076
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	71029	72783	+	WP_011899599.1	WP_011899599.1		ATP-dependent DNA ligase		5054375	PARS_RS00385	1755	584	
gene	protein_coding	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	72771	73292	-						5054311	PARS_RS00390	522		old_locus_tag=Pars_0077
CDS	with_protein	GCF_000016385.1	Primary Assembly	chromosome		NC_009376.1	72771	73292	-	WP_128622098.1	WP_128622098.1		hypothetical protein		5054311	PARS_RS00390	522	173	
