# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	17081	18208	-	WP_011006990.1	WP_011006990.1		ABC transporter permease		1464733	PAE_RS00115	1128	375	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	18189	20180	-						1464734	PAE_RS00120	1992		old_locus_tag=PAE0040
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	18189	20180	-	WP_011006991.1	WP_011006991.1		hypothetical protein		1464734	PAE_RS00120	1992	663	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	20180	20659	-						1464735	PAE_RS00125	480		old_locus_tag=PAE0041
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	20180	20659	-	WP_011006992.1	WP_011006992.1		hypothetical protein		1464735	PAE_RS00125	480	159	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	20731	21765	+						1464736	PAE_RS00130	1035		old_locus_tag=PAE0042
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	20731	21765	+	WP_011006993.1	WP_011006993.1		glycosyltransferase family 2 protein		1464736	PAE_RS00130	1035	344	
gene	tRNA	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	21776	21867	-						1464737	PAE_RS00135	92		old_locus_tag=PAEtR42
tRNA		GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	21776	21867	-				tRNA-His		1464737	PAE_RS00135	75		anticodon=GTG
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	21915	22319	+						1464738	PAE_RS00140	405		old_locus_tag=PAE0044
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	21915	22319	+	WP_011006994.1	WP_011006994.1		HEPN domain-containing protein		1464738	PAE_RS00140	405	134	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	22291	22641	+						1464739	PAE_RS00145	351		old_locus_tag=PAE0045
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	22291	22641	+	WP_011006995.1	WP_011006995.1		nucleotidyltransferase domain-containing protein		1464739	PAE_RS00145	351	116	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	22679	23020	+						1464740	PAE_RS00150	342		old_locus_tag=PAE0046
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	22679	23020	+	WP_011006996.1	WP_011006996.1		hypothetical protein		1464740	PAE_RS00150	342	113	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	23050	23250	+						1464741	PAE_RS00155	201		old_locus_tag=PAE0047
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	23050	23250	+	WP_011006997.1	WP_011006997.1		hypothetical protein		1464741	PAE_RS00155	201	66	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	23237	24289	-						1464742	PAE_RS00160	1053		old_locus_tag=PAE0049
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	23237	24289	-	WP_128621371.1	WP_128621371.1		serpin		1464742	PAE_RS00160	1053	350	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	24174	24968	-						68225625	PAE_RS13335	795		old_locus_tag=PAE0049a
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	24174	24968	-	WP_011006999.1	WP_011006999.1		hypothetical protein		68225625	PAE_RS13335	795	264	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	25140	25364	-						1464744	PAE_RS00165	225		old_locus_tag=PAE0051
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	25140	25364	-	WP_011007000.1	WP_011007000.1		hypothetical protein		1464744	PAE_RS00165	225	74	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	25782	27665	-						1464745	PAE_RS00170	1884		old_locus_tag=PAE0055
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	25782	27665	-	WP_011007001.1	WP_011007001.1		metallophosphoesterase		1464745	PAE_RS00170	1884	627	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	27787	28992	-						1464747	PAE_RS00175	1206		old_locus_tag=PAE0057
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	27787	28992	-	WP_011007003.1	WP_011007003.1		ABC transporter		1464747	PAE_RS00175	1206	401	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	29022	29375	-						68225626	PAE_RS13340	354		
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	29022	29375	-	WP_226976145.1	WP_226976145.1		hypothetical protein		68225626	PAE_RS13340	354	117	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	29401	30612	+						1464748	PAE_RS00180	1212		old_locus_tag=PAE0061
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	29401	30612	+	WP_226976146.1	WP_226976146.1		ABC transporter substrate-binding protein		1464748	PAE_RS00180	1212	403	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	30629	32437	-						1464749	PAE_RS00185	1809		old_locus_tag=PAE0062
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	30629	32437	-	WP_011007005.1	WP_011007005.1		iron ABC transporter permease		1464749	PAE_RS00185	1809	602	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	32434	33477	-						1464750	PAE_RS00190	1044		old_locus_tag=PAE0063
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	32434	33477	-	WP_011007006.1	WP_011007006.1		ABC transporter ATP-binding protein		1464750	PAE_RS00190	1044	347	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	33561	34796	+					eif2g	1464751	PAE_RS00195	1236		old_locus_tag=PAE0064
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	33561	34796	+	WP_011007007.1	WP_011007007.1		translation initiation factor IF-2 subunit gamma	eif2g	1464751	PAE_RS00195	1236	411	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	35472	36290	-						1464754	PAE_RS00200	819		old_locus_tag=PAE0067
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	35472	36290	-	WP_011007010.1	WP_011007010.1		CRISPR-associated endonuclease Cas3''		1464754	PAE_RS00200	819	272	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	36287	38116	-					cas3	1464755	PAE_RS00205	1830		old_locus_tag=PAE0068
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	36287	38116	-	WP_011007011.1	WP_011007011.1		CRISPR-associated helicase Cas3'	cas3	1464755	PAE_RS00205	1830	609	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	38113	38376	-						1464756	PAE_RS00210	264		old_locus_tag=PAE0069
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	38113	38376	-	WP_011007012.1	WP_011007012.1		hypothetical protein		1464756	PAE_RS00210	264	87	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	38499	39287	+						1464757	PAE_RS00215	789		old_locus_tag=PAE0070
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	38499	39287	+	WP_011007013.1	WP_011007013.1		hypothetical protein		1464757	PAE_RS00215	789	262	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	39331	39642	+						43931895	PAE_RS13185	312		
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	39331	39642	+	WP_128621375.1	WP_128621375.1		hypothetical protein		43931895	PAE_RS13185	312	103	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	41005	41745	-					cas6	1464759	PAE_RS00225	741		old_locus_tag=PAE0075
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	41005	41745	-	WP_011007015.1	WP_011007015.1		CRISPR system precrRNA processing endoribonuclease RAMP protein Cas6	cas6	1464759	PAE_RS00225	741	246	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	41774	42397	+						68225627	PAE_RS13345	624		old_locus_tag=PAE0077
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	41774	42397	+	WP_011007016.1	WP_011007016.1		hypothetical protein		68225627	PAE_RS13345	624	207	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	42327	42704	-						1464761	PAE_RS00235	378		old_locus_tag=PAE0078
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	42327	42704	-	WP_011007017.1	WP_011007017.1		hypothetical protein		1464761	PAE_RS00235	378	125	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	42689	43204	-					cas4	1464762	PAE_RS00240	516		old_locus_tag=PAE0079
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	42689	43204	-	WP_011007018.1	WP_011007018.1		CRISPR-associated protein Cas4	cas4	1464762	PAE_RS00240	516	171	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	43194	43481	-					cas2	1464763	PAE_RS00245	288		old_locus_tag=PAE0080
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	43194	43481	-	WP_011007019.1	WP_011007019.1		CRISPR-associated endonuclease Cas2	cas2	1464763	PAE_RS00245	288	95	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	43478	44419	-					cas1	1464764	PAE_RS00250	942		old_locus_tag=PAE0081
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	43478	44419	-	WP_226976147.1	WP_226976147.1		CRISPR-associated endonuclease Cas1	cas1	1464764	PAE_RS00250	942	313	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	44370	45236	-					cas4a	1464765	PAE_RS00255	867		old_locus_tag=PAE0082
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	44370	45236	-	WP_011007021.1	WP_011007021.1		type I-A CRISPR-associated protein Cas4/Csa1	cas4a	1464765	PAE_RS00255	867	288	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	46700	46903	+						1464766	PAE_RS00260	204		old_locus_tag=PAE0084
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	46700	46903	+	WP_011007022.1	WP_011007022.1		hypothetical protein		1464766	PAE_RS00260	204	67	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	46970	47239	+						1464767	PAE_RS00265	270		old_locus_tag=PAE0086
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	46970	47239	+	WP_011007023.1	WP_011007023.1		hypothetical protein		1464767	PAE_RS00265	270	89	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	47274	47747	+						1464768	PAE_RS00270	474		old_locus_tag=PAE0087
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	47274	47747	+	WP_148141135.1	WP_148141135.1		hypothetical protein		1464768	PAE_RS00270	474	157	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	47753	48844	-						1464769	PAE_RS00275	1092		old_locus_tag=PAE0088
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	47753	48844	-	WP_128621376.1	WP_128621376.1		VWA-like domain-containing protein		1464769	PAE_RS00275	1092	363	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	48829	48975	-						43496583	PAE_RS12965	147		old_locus_tag=PAE0089
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	48829	48975	-	WP_011007026.1	WP_011007026.1		hypothetical protein		43496583	PAE_RS12965	147	48	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	48972	50060	-						1464771	PAE_RS00280	1089		old_locus_tag=PAE0090
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	48972	50060	-	WP_011007027.1	WP_011007027.1		MoxR family ATPase		1464771	PAE_RS00280	1089	362	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	50152	51057	+						1464772	PAE_RS00285	906		old_locus_tag=PAE0091
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	50152	51057	+	WP_011007028.1	WP_011007028.1		hypothetical protein		1464772	PAE_RS00285	906	301	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	51724	52272	+						1464773	PAE_RS00290	549		old_locus_tag=PAE0096
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	51724	52272	+	WP_011007029.1	WP_011007029.1		PaREP1 family protein		1464773	PAE_RS00290	549	182	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	52814	53797	-						1464775	PAE_RS00295	984		old_locus_tag=PAE0098
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	52814	53797	-	WP_011007031.1	WP_011007031.1		AAA family ATPase		1464775	PAE_RS00295	984	327	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	54121	54348	+						1464776	PAE_RS00300	228		old_locus_tag=PAE0100
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	54121	54348	+	WP_011007032.1	WP_011007032.1		AbrB/MazE/SpoVT family DNA-binding domain-containing protein		1464776	PAE_RS00300	228	75	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	54323	54703	+						1464777	PAE_RS00305	381		old_locus_tag=PAE0101
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	54323	54703	+	WP_011007033.1	WP_011007033.1		type II toxin-antitoxin system VapC family toxin		1464777	PAE_RS00305	381	126	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	54939	55859	+						1464778	PAE_RS00310	921		old_locus_tag=PAE0103
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	54939	55859	+	WP_011007034.1	WP_011007034.1		ATP-binding protein		1464778	PAE_RS00310	921	306	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	56086	56712	+						1464779	PAE_RS00315	627		old_locus_tag=PAE0105
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	56086	56712	+	WP_011007035.1	WP_011007035.1		hypothetical protein		1464779	PAE_RS00315	627	208	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	56712	57329	+						1464780	PAE_RS00320	618		old_locus_tag=PAE0106
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	56712	57329	+	WP_011007036.1	WP_011007036.1		PIN domain-containing protein		1464780	PAE_RS00320	618	205	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	57434	57805	-						1464781	PAE_RS00325	372		old_locus_tag=PAE0108
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	57434	57805	-	WP_011007037.1	WP_011007037.1		hypothetical protein		1464781	PAE_RS00325	372	123	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	57805	60177	-					cas10	1464782	PAE_RS00330	2373		old_locus_tag=PAE0109
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	57805	60177	-	WP_011007038.1	WP_011007038.1		type III-A CRISPR-associated protein Cas10/Csm1	cas10	1464782	PAE_RS00330	2373	790	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	60164	61096	-						1464783	PAE_RS00335	933		old_locus_tag=PAE0111
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	60164	61096	-	WP_011007039.1	WP_011007039.1		CRISPR-associated protein		1464783	PAE_RS00335	933	310	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	61084	61968	-						1464784	PAE_RS00340	885		old_locus_tag=PAE0112
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	61084	61968	-	WP_011007040.1	WP_011007040.1		hypothetical protein		1464784	PAE_RS00340	885	294	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	61965	62891	-					csm3	1464785	PAE_RS00345	927		old_locus_tag=PAE0114
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	61965	62891	-	WP_011007041.1	WP_011007041.1		type III-A CRISPR-associated RAMP protein Csm3	csm3	1464785	PAE_RS00345	927	308	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	62888	63334	-						1464786	PAE_RS00350	447		old_locus_tag=PAE0115
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	62888	63334	-	WP_011007042.1	WP_011007042.1		hypothetical protein		1464786	PAE_RS00350	447	148	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	63419	64411	+						1464787	PAE_RS00355	993		old_locus_tag=PAE0116
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	63419	64411	+	WP_011007043.1	WP_011007043.1		hypothetical protein		1464787	PAE_RS00355	993	330	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	64616	66046	-					csx1	1464788	PAE_RS00360	1431		old_locus_tag=PAE0117
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	64616	66046	-	WP_011007044.1	WP_011007044.1		CRISPR-associated CARF protein Csx1	csx1	1464788	PAE_RS00360	1431	476	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	66135	66389	+						1464789	PAE_RS00365	255		old_locus_tag=PAE0118
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	66135	66389	+	WP_011007045.1	WP_011007045.1		hypothetical protein		1464789	PAE_RS00365	255	84	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	66414	68069	+						1464790	PAE_RS00375	1656		old_locus_tag=PAE0119
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	66414	68069	+	WP_011007046.1	WP_011007046.1		CRISPR-associated DxTHG motif protein		1464790	PAE_RS00375	1656	551	
gene	protein_coding	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	68073	68603	-						1464791	PAE_RS00380	531		old_locus_tag=PAE0120
CDS	with_protein	GCF_000007225.1	Primary Assembly	chromosome		NC_003364.1	68073	68603	-	WP_011007047.1	WP_011007047.1		hypothetical protein		1464791	PAE_RS00380	531	176	
